,Dataset,Training Size,Testing Size,Penalty,C,Solver,Accuracy Score
110,BinClass Standard Scalled,80 %,20 %,l1,1.0,liblinear,0.8516666666666667
111,MultiClass,80 %,20 %,l1,1.0,liblinear,0.473
112,MultiClass Min Max Scalled,80 %,20 %,l1,1.0,liblinear,0.473
113,MultiClass Standard Scalled,80 %,20 %,l1,1.0,liblinear,0.471
114,BinClass,80 %,20 %,l1,1.0,saga,0.8516666666666667
115,BinClass Min Max Scalled,80 %,20 %,l1,1.0,saga,0.84
116,BinClass Standard Scalled,80 %,20 %,l1,1.0,saga,0.8516666666666667
117,MultiClass,80 %,20 %,l1,1.0,saga,0.477
118,MultiClass Min Max Scalled,80 %,20 %,l1,1.0,saga,0.475
119,MultiClass Standard Scalled,80 %,20 %,l1,1.0,saga,0.474
120,BinClass,80 %,20 %,l1,10.0,liblinear,0.8516666666666667
121,BinClass Min Max Scalled,80 %,20 %,l1,10.0,liblinear,0.8516666666666667
122,BinClass Standard Scalled,80 %,20 %,l1,10.0,liblinear,0.8516666666666667
123,MultiClass,80 %,20 %,l1,10.0,liblinear,0.473
124,MultiClass Min Max Scalled,80 %,20 %,l1,10.0,liblinear,0.473
125,MultiClass Standard Scalled,80 %,20 %,l1,10.0,liblinear,0.473
126,BinClass,80 %,20 %,l1,10.0,saga,0.8516666666666667
127,BinClass Min Max Scalled,80 %,20 %,l1,10.0,saga,0.8433333333333334
128,BinClass Standard Scalled,80 %,20 %,l1,10.0,saga,0.8516666666666667
129,MultiClass,80 %,20 %,l1,10.0,saga,0.476
130,MultiClass Min Max Scalled,80 %,20 %,l1,10.0,saga,0.474
131,MultiClass Standard Scalled,80 %,20 %,l1,10.0,saga,0.475
132,BinClass,80 %,20 %,l1,50.0,liblinear,0.8516666666666667
133,BinClass Min Max Scalled,80 %,20 %,l1,50.0,liblinear,0.8516666666666667
134,BinClass Standard Scalled,80 %,20 %,l1,50.0,liblinear,0.8516666666666667
135,MultiClass,80 %,20 %,l1,50.0,liblinear,0.473
136,MultiClass Min Max Scalled,80 %,20 %,l1,50.0,liblinear,0.473
137,MultiClass Standard Scalled,80 %,20 %,l1,50.0,liblinear,0.473
138,BinClass,80 %,20 %,l1,50.0,saga,0.8516666666666667
139,BinClass Min Max Scalled,80 %,20 %,l1,50.0,saga,0.8433333333333334
140,BinClass Standard Scalled,80 %,20 %,l1,50.0,saga,0.8516666666666667
141,MultiClass,80 %,20 %,l1,50.0,saga,0.476
142,MultiClass Min Max Scalled,80 %,20 %,l1,50.0,saga,0.474
143,MultiClass Standard Scalled,80 %,20 %,l1,50.0,saga,0.476
144,BinClass,80 %,20 %,l2,0.1,liblinear,0.8533333333333334
145,BinClass Min Max Scalled,80 %,20 %,l2,0.1,liblinear,0.7983333333333333
146,BinClass Standard Scalled,80 %,20 %,l2,0.1,liblinear,0.8533333333333334
147,MultiClass,80 %,20 %,l2,0.1,liblinear,0.475
148,MultiClass Min Max Scalled,80 %,20 %,l2,0.1,liblinear,0.474
149,MultiClass Standard Scalled,80 %,20 %,l2,0.1,liblinear,0.474
150,BinClass,80 %,20 %,l2,0.1,saga,0.8533333333333334
151,BinClass Min Max Scalled,80 %,20 %,l2,0.1,saga,0.8
152,BinClass Standard Scalled,80 %,20 %,l2,0.1,saga,0.8516666666666667
153,MultiClass,80 %,20 %,l2,0.1,saga,0.476
154,MultiClass Min Max Scalled,80 %,20 %,l2,0.1,saga,0.476
155,MultiClass Standard Scalled,80 %,20 %,l2,0.1,saga,0.469
156,BinClass,80 %,20 %,l2,1.0,liblinear,0.8516666666666667
157,BinClass Min Max Scalled,80 %,20 %,l2,1.0,liblinear,0.8283333333333334
158,BinClass Standard Scalled,80 %,20 %,l2,1.0,liblinear,0.8516666666666667
159,MultiClass,80 %,20 %,l2,1.0,liblinear,0.473
160,MultiClass Min Max Scalled,80 %,20 %,l2,1.0,liblinear,0.473
161,MultiClass Standard Scalled,80 %,20 %,l2,1.0,liblinear,0.473
162,BinClass,80 %,20 %,l2,1.0,saga,0.8516666666666667
163,BinClass Min Max Scalled,80 %,20 %,l2,1.0,saga,0.8283333333333334
164,BinClass Standard Scalled,80 %,20 %,l2,1.0,saga,0.8516666666666667
165,MultiClass,80 %,20 %,l2,1.0,saga,0.476
166,MultiClass Min Max Scalled,80 %,20 %,l2,1.0,saga,0.474
167,MultiClass Standard Scalled,80 %,20 %,l2,1.0,saga,0.475
168,BinClass,80 %,20 %,l2,10.0,liblinear,0.8516666666666667
169,BinClass Min Max Scalled,80 %,20 %,l2,10.0,liblinear,0.8533333333333334
170,BinClass Standard Scalled,80 %,20 %,l2,10.0,liblinear,0.8516666666666667
171,MultiClass,80 %,20 %,l2,10.0,liblinear,0.473
172,MultiClass Min Max Scalled,80 %,20 %,l2,10.0,liblinear,0.473
173,MultiClass Standard Scalled,80 %,20 %,l2,10.0,liblinear,0.473
174,BinClass,80 %,20 %,l2,10.0,saga,0.8516666666666667
175,BinClass Min Max Scalled,80 %,20 %,l2,10.0,saga,0.8433333333333334
176,BinClass Standard Scalled,80 %,20 %,l2,10.0,saga,0.8516666666666667
177,MultiClass,80 %,20 %,l2,10.0,saga,0.476
178,MultiClass Min Max Scalled,80 %,20 %,l2,10.0,saga,0.474
179,MultiClass Standard Scalled,80 %,20 %,l2,10.0,saga,0.476
180,BinClass,80 %,20 %,l2,50.0,liblinear,0.8516666666666667
181,BinClass Min Max Scalled,80 %,20 %,l2,50.0,liblinear,0.8516666666666667
182,BinClass Standard Scalled,80 %,20 %,l2,50.0,liblinear,0.8516666666666667
183,MultiClass,80 %,20 %,l2,50.0,liblinear,0.473
184,MultiClass Min Max Scalled,80 %,20 %,l2,50.0,liblinear,0.473
185,MultiClass Standard Scalled,80 %,20 %,l2,50.0,liblinear,0.473
186,BinClass,80 %,20 %,l2,50.0,saga,0.8516666666666667
187,BinClass Min Max Scalled,80 %,20 %,l2,50.0,saga,0.8433333333333334
188,BinClass Standard Scalled,80 %,20 %,l2,50.0,saga,0.8516666666666667
189,MultiClass,80 %,20 %,l2,50.0,saga,0.476
190,MultiClass Min Max Scalled,80 %,20 %,l2,50.0,saga,0.474
191,MultiClass Standard Scalled,80 %,20 %,l2,50.0,saga,0.476
